GenBank Nucleotide Accession	GenBank Protein Accession
AB052917	BAB79262
AF538973	AAN16368
AF336106	AAL73209
AY066015	AAL47681
AB088847	BAC06485
AF453834	AAL50984
AF512521	AAO20969
BC020713	AAH20713
BC017963	AAH17963
AY180924	AAO17728
BC032715	AAH32715
BC008884	AAH08884
AF419247	AAL16813
BC032302	AAH32302
BC022434	AAH22434
BC020718	AAH20718
AF314222	AAG33061
BC039202	AAH39202
BC034017	; AAI71739
BC042482	AAH42482
BC008497	AAH08497
BC034350	AAH34350
BC044661	AAH44661
BC008958	AAH08958
BC029442	-
BC019003	AAH14119; 
AF075429	AAC62634
AF465821	AAL77003
BC014432	AAH14432
BC009797	AAH09797
BC018978	XP_011520385; ; CCV01317; BAE47454; AAI37504; AAD44047; BAB15456; XP_011520386; NP_001273425; EAW77694; AAS77398; ABW71293; NP_001273426; NP_001273428; EAW77695; AAI37505; ABD92708; NP_079325; EAW77696; Q9H611; BAE47455
AF401998	AAK94915
BC007344	-
AB063187	BAB83499
AF305226	AAK20212
BC022058	-
AY036909	AAK67714
AF527551	AAO32671
BC034432	AAH34432
AF326778	AAK83153
AF355465	AAK83287
BC009775	AAH09775
BC012487	-
BC020700	-
AB083211	BAC43747
BC009423	-
BC009519	-
AF110956	AAD24433
BC017857	-
AB014766	BAB87806
AB072357	BAB84116
BC012602	AAH12602
AY040088	AAK74136
BC020843	AAH20843
AF327350	AAL05587
AF362941	-
AF528079	AAO33762
AF499919	AAN27928
AF427619	AAN86134
AF519621	AAM75349
AF315633	AAK77962
AY170471	AAO12729
AF499918	AAN27927
AF220234	AAL11915
AF547221	AAN86346
AF493430	AAM13672
BC045768	AAH45768
AF324499	AAL33005
BC012090	-
AF209506	AAL32993
AF427620	AAN86135
AF534823	AAO15021
AF238489	AAL32998
AY170470	AAO12728
AF067801	AAF75561
AF458587	AAM49715
BC029496	AAH29496
AF381283	AAM21458
AB053316	BAB69024
BC012486	; NP_001158724; AAH63625; EAW60702; P0C7H8
AF303179	AAN31127
AB044157	BAB78692
BC046147	-
AF425867	AAO13875
AF439711	AAL34525
AY033891	AAK55765
AF384996	AAK62360
BC009615	AAH09615
AY142148	AAN46678
AF325460	AAL37359
AF290986	AAL38198
AY081815	AAL89819
AF439512	AAL35226
AY208750	AAO32820
AF367022	AAK53711
AF388368	AAL09582
AF259970	AAK71705
AF425866	AAO13874
AF425863	AAO13871
AY166714	AAN75573
AF463496	AAO15671
AF548113	AAN59915
AY039026	AAK82650
AF418285	AAL08580
AF346903	AAM43828
AY072911	AAL68879
M15530	-
AB063298	BAB60904
AY163814	AAN85726
AB062480	BAB93505
BC010946	AAH10946
AF493929	AAM12643
AF220235	AAL11916
AY177672	AAO18648
AF354928	AAL08486
AY042224	AAK91849
D00682	BAG64624; AAH12318; BAA00589; BAG53513; BAA05711; NP_005498; EAW74452; AAH18256; ; P23528; AAH12265; AAA64501; EAW74448; EAW74451; AAH11005; AAP35492; CAA64685; EAW74450; EAW74449; ACJ13657
AF393369	AAL09586
AB002534	BAB46926
AF165187	AAF89547
AF259971	AAK71706
AY174127	AAN73236
AF483549	AAL86908
U92817	AAC51807
U92816	AAC51806
U25677	CAA32175; AAH04147; CDM98740; EAW97222; EAW97220; AAA59536; AAA36188; ; BAG34722; NP_000230; CAA40387; P61626; AAA59535; AIL02126; AAC63078; EAW97221; ACO37637
BC030210	AAH30210
D26122	EAW74297; BAG63254; BAA05116; NP_001171502; NP_004621; NP_001365886; EAW74293; AAH00773; AAH08080; AAH38446; XP_016873735; NP_973726; ; CAA03883; EAW74286; EAW74295; Q15637; CAA70019; XP_011543548; XP_011543549; XP_011543550; XP_016873734; XP_024304447; XP_024304448; NP_001171501; NP_973724; EAW74288; AAH08724; XP_016873739; NP_973727; EAW74287; BAG58956; XP_011543547; XP_016873738; XP_016873740; NP_001333293; NP_001333339; CCO13811; EAW74291; BAH11587; NP_001333338; NP_001365885; EAW74289; EAW74290; EAW74292; EAW74294; EAW74296; BAG61606; AAH20217; BAA05117; BAA05118; BAA05119; AAB03514; AAB04033; CAA70018; NP_001333292
AY114106	AAM44083
AY179170	AAO03577
Z22814	CAA80468
AF342767	AAO33348
AF400600	AAL11716
AB083483	BAB88941
AF213040	AAK06372
AF043341	AAC03541
AF364037	AAK56922
AF364036	AAK56921
AF152354	AAF15104
AF493872	AAM12586
AF493870	AAM12584
AY137580	AAN11305
AF465766	AAM73984
AY191416	AAO24707
AY140646	AAN17733
M74721	EAW57075; AAI13734; CCF76936; EAW57076; BAG37737; NP_067612; AAI13732; NP_001774; AAA20495; BAD97091; AAB23558; AAC60653; CCF76935; ; AAA57274; P11912; AAG15590; AAA59557; AAB20812; CAA31802; AAA60270; AAA59556; CAA58523
AF493921	AAM12635
BC015324	AAH15324
AF346607	AAK62888
AY137776	AAN11306
BC008034	-
BC009820	AAH09820
AF250311	AAK58175
AY099328	AAM44129
BC036301	AAH36301
BC033499	AAH33499
AL834267	CAD38942
AF493886	AAM12600
AF017807	AAB70561
AL831916	CAD38577
AL834187	CAH56486
BC038422	AAH38422
BC030546	AAH30546
BC034417	AAH34417
U18840	CAB89268; CAB89269; EAX03220; AAU09341; AAH35938; AAB08092; CAA52617; CAB89271; BAD93052; AAU09342; AAU09344; AAC50876; AAC50877; AAB36870; AAC50362; AAB08088; AAB08091; NP_001008229; CAB89267; EAX03217; AAU09337; AAU09339; NP_996533; NP_996534; NP_996537; AQY76931; CAB89274; EAX03219; AAU09338; AAC50878; AAB08093; AQY76935; EAX03214; EAX03216; Q16653; AAU10102; AAB08089; AAB08095; NP_001163889; NP_002424; ; AQY76933; CAA88109; EAX03213; EAX03215; AAU09340; AAU09343; NP_001008230; NP_001350539; NP_996535; AQY76932; AQY76934; CAB89273; EAX03218; AAC50879; AAC50361; AAB08090; AAB08094; NP_996532; CAB89270; BAH12014; BAG35739
BC001962	AAH01962
BC007689	AAH07689
AF498927	AAM21075
AF498970	AAM21117
AL136564	CAB66499
BC008840	EAW77875; AAI40869; XP_011520346; XP_016878074; XP_016878071; NP_001273358; BAB14673; BAG61125; BAG64808; NP_001381461; ; EAW77873; BAD18685; AAQ88510; XP_016878072; NP_079093; EAW77874; XP_011520345; CAE46049; XP_016878073; Q6ZMP0; XP_016878075
AY148482	AAN71008
BC010061	AAH10061
BC016043	AAH16043
BM686056	-
AK098354	BAC05290
BQ021146	-
AY034790	AAK61551
BC001224	-
BC004948	-
BU683415	-
AK096168	BAC85949; NP_001375238; Q8WZA9; BAC87498; NP_001007562; AAI37021; AAI37022; ; EAW57205; AAL33884; AAI44452
AW974143	-
BE614461	-
BG461394	-
BQ014020	-
BM978026	-
AL713781	CAD28541
AI688573	-
BU617052	-
AI690004	-
AW514401	-
AI375915	-
BI524781	-
AA594609	-
CA310606	-
CA430188	-
AK091986	EAW87201; NP_891554; CAD98087; XP_011513822; Q8IY33; BAB15667; ; AAH37988; EAW87200; AAQ89115; BAB84894; XP_011513824; XP_011513826; BAC86702; DAA01346; XP_024302700
AW057819	-
R67325	-
BM980844	-
BM666010	-
BG205347	-
AK056658	BAB71243
AL832597	EAW59747; BAB33318; CAJ86445; 
BC019880	; A6NN06
BU733713	-
BG290185	-
AK094613	-
AK075092	BAC11396
AK097997	NP_001381880; NP_115805; ; NP_001381881; EAW49790; EAW49791; EAW49792; BAG60478; AAK31577; NP_001381873; NP_001381874; NP_001381875; Q9BRK4; CAD39005; AAH58938; NP_001381876; NP_001381879; AAH06212; AAH05855; NP_001305028; NP_001305029; NP_001305030; BAB47442; NP_001381877; NP_001381878
AJ271379	BAH14098; XP_006724640; XP_006724641; XP_016884804; ; NP_001010862; EAW93237; Q5JUX0; AAI46900; AAI46907
AK054730	AAQ09946; BAG52978; AAH00904; NP_001258710; AAQ63402; NP_001258709; NP_055629; EAW65424; EAW65425; BAF82894; AAS68366; NP_001258708; Q15008; AAH12369; ; EAW65426; EAW65427; AAF65540; XP_024309609; AAH00630; BAA03497; XP_005265676; XP_011532590; XP_016863058
BC029491	AAH29491
AK095151	
BQ876971	-
BC040701	
BF476087	-
AI918054	-
AA829283	-
AK097967	EAW84145; EAW84147; EAW84151; BAC86797; AAH39596; NP_001005360; NP_004936; EAW84146; BAG52966; BAC05190; AAH54501; BAF82520; AAA88025; EAW84148; NP_001005361; AAD23603; EAW84144; BAC85978; NP_001005362; NP_001177645; ; EAW84149; EAW84150; P50570; BAD92450; BAC86481; AAD23604; BAG53560; BAG58715
BM973999	-
CA306222	-
BQ003366	-
BC031322	-
BC022066	CAH18306; NP_001161951; NP_001161952; ; EAW54733; NP_001161950; NP_001161954; EAW54734; BAG53350; AAH58904; NP_001161957; Q6P1M9; AAH00792; NP_073749; AAH64983; EAW54732; BAB14367
BM975756	-
AI147556	-
BQ184856	-
BF591199	-
AK056761	BAG51808
AI016213	-
AK098734	BAC05397
AK055004	BAB70838
BM670238	-
BU683892	-
BQ007522	-
BE045368	-
BM873997	-
AW590897	-
AK094208	AAY14820; EAX01891; XP_011510237; XP_016860535; ; EAX01890; Q9BZW7; ASE04537; XP_016860534; NP_878915; BAH14161; AAH28366; XP_005264081; XP_005264082; XP_011510244; XP_016860531; XP_016860533; XP_024308927; XP_024308928; BAG36156; XP_016860528; XP_016860530; AAK13079; XP_005264080; XP_005264086; XP_016860525; XP_016860526; XP_016860527; XP_016860529; XP_016860532; XP_016860537; NP_001335942; EAX01888; EAX01892; ASE04535; XP_011510239; XP_011510243; XP_016860536; ASE04534; XP_005264083; XP_005264084; XP_006712844; XP_011510241; XP_016860524; NP_001335943; NP_079520; EAX01889; AAK27309; ASE04536; XP_011510236; XP_024308926; XP_024308929; NP_001335941
AB095933	BAC23109
T58129	-
AI520969	-
BG198711	-
AK091113	AAP73803; 
CA307621	AAH08196; Q96HS1; ABX39494; EAW54825; NP_001164014; EAW54826; EAW54827; AAK60627; NP_001164015; ; NP_612642
AK091785	AAH98584; XP_011516718; EAW62865; EAW62866; Q9NZB2; NP_001273653; ; AAP31031; AAI11737; XP_011516714; AAF72867; EAW62864; AAC09364; AQX45471; NP_001273651; NP_001273652; AAF72866; AAH07879; XP_005251899; XP_011516716; EAW62863; AAR21086; BAA11500; XP_011516715; NP_055427
AU116818	-
CA448665	-
BQ003811	-
BU616656	-
AJ421515	CAD13394
AK054976	ADO22422; AAA82926; ADO22328; ; EAW62376; AAH01287; AAH07090; AAC71077; NP_005331; CAG33329; P49773; BAB15500
CA503291	-
BU623906	-
AA362254	-
AU154086	-
AU127250	-
BU617042	-
BU676221	-
AW467415	-
CA447406	-
AK055685	BAG51556
BU078629	-
AI190160	-
AL043282	-
AA890373	-
CA775385	-
N39597	-
BI458826	-
AI332397	-
BM128432	-
BE646027	-
AK074354	BAG64416; ; Q9P203; AAH47071; EAW81526; CAD98074; CAH10736; CAD66569; XP_016876927; NP_001002860; EAW81525; EAW81528; BAB13946; BAF84111; NP_060637; EAW81527; EAW81529; AAI41851; NP_001276062; BAA96049; BAA91730; XP_011535241
AW959804	-
CA450514	-
BG197939	-
BQ025347	-
AI377389	-
AK096998	BAC04924
AW117765	-
BM976939	-
AL360139	AAI11414; NP_001035047; DAA00304; Q0VG99; 
AK092871	BAC03994
BE502765	-
BF105980	-
BU733431	-
AI692623	-
H90656	-
AK092487	EAW59928; BAG53398; BAG54703; BAG64475; AAH34237; XP_006724365; XP_011528643; XP_016884402; XP_016884403; XP_016884407; NP_001369575; NP_001369576; AAD15619; EAW59930; EAW59932; BAD92880; BAG52594; BAG57122; BAG61871; NP_001369570; NP_001369574; BAG53165; BAG58368; BAG62847; BAG64991; XP_011528635; XP_011528640; NP_001193946; NP_001193947; NP_001369567; EAW59926; EAW59927; BAG53168; AAL36150; XP_016884405; XP_016884408; EAW59929; P53814; CAA90281; XP_011528641; NP_001369577; NP_599031; EAW59931; XP_006724361; XP_011528638; XP_011528639; XP_016884406; NP_001369571; ; AAF01481; CAA09077; AAL36149; CAA73884; NP_001369572; EAW59925; BAG54716; BAG62504; NP_001369568; NP_001369569; NP_001369573; NP_008863; NP_599032
BQ187042	-
AK097000	BAG53406
AI201248	-
AK098525	; CBI67672; BAB14945; AAG34731; Q96QV1; AAG35411; AAH25311; CAK96038; NP_071920; EAX05054; BAC11154; XP_005263235; XP_006714351; AAK18182; BAF84538; AAQ89107; AAH09298
AW150212	-
BI912454	-
AK093733	
AL832535	
AI298393	-
BC033363	
CA428769	-
CA777994	-
AL556987	-
AI034387	-
U90905	-
BM982514	EAW67146; Q9H0K1; NP_056006; ACA06072; BAA34501; BAB91442; XP_016872906; BAF83922; CAB66698; AAI13460; AAI17184; ; EAW67149; AAH13612; AAH78150; EAW67147; EAW67148; XP_016872907
CA778002	-
W92026	-
BM992098	-
AK027074	AAH98382; NP_001244202; BAB55382; BAG63834; XP_011512762; EAX04472; Q9Y4E5; ; EAX04473; AAH42450; NP_001026794; BAA25502; XP_005249051; NP_056370; BAB21793; AAL17975; AAH21712; XP_011512763; AAH58853; XP_011512764; EAX04471; XP_011512765
AI760272	-
AW182934	-
BQ575161	-
BG828817	-
AI830331	-
AK021881	EAW57409; EAW57410; EAW57411; EAW57412; EAW57414; Q9Y2N7; BAG65505; XP_016882626; XP_016882627; XP_016882628; XP_024307417; NP_071907; AAD22667; XP_005259209; XP_005259212; XP_005259213; AAD22668; EAW57408; BAD93355; BAB13865; BAB55324; AAH26308; AAH80551; XP_005259210; EAW57413; BAG07185; AAL69947; XP_016882621; XP_016882624; XP_016882629; XP_016882630; NP_690008; AAC99397; BAG61601; XP_016882622; BAB13819; BAB14824; BAG60164; XP_016882623; XP_016882625; XP_016882631; BAB69689; ; BAG37233; NP_690007; NP_690009
AK097861	BAC05187
R46708	-
BF509267	-
CA314425	-
BC038753	; EAW68921; P52272; AAH19580; XP_005272535; XP_005272540; XP_016882315; EAW68919; AAH08895; XP_005272536; XP_016882314; XP_016882317; NP_112480; AAA36192; NP_001284347; AAH64588; XP_016882319; XP_016882321; NP_005959; EAW68922; BAD92970; XP_005272537; AAC16002; AAH00138; XP_016882312; XP_016882313; XP_016882318; XP_016882320; EAW68923; CAD28541; XP_005272538; XP_016882316; EAW68920; AAL31359; CAA50897
AI244592	-
AK098491	BAC05317
BM970306	-
BQ025558	-
AL834407	CAD39069
CA442342	-
AF088005	EAX04709; 
BM678298	-
AI453268	-
AW079553	-
AL832253	-
BM676963	-
BC036906	EAX09208; ; EAX09209; AAH09755; XP_011535763; NP_001291362; Q8NDY3; CAC86114; NP_001362322; NP_612439; NP_954631; NP_001381736
AI825808	-
AK090842	
AK021751	EAW97318; AAG24631; AAP35669; AAC37544; XP_016874827; XP_016874829; ; EAW97315; EAW97320; EAW97321; NP_004528; EAW97317; BAH11990; BAH12595; XP_016874828; BAA05796; NP_001317160; EAW97319; XP_011536695; NP_001317161; EAW97316; P55209; BAG53656; BAH12906; CAB82405; NP_631946; EAW97314; NP_001294853; BAH14258; AAH02387; XP_024304751
CA431092	-
BM668595	-
AK098236	BAC05266
AK094809	AAD56952; AAI36297; ; EAW95863; O14827; XP_024301909; NP_008840; AAI26113; CAH18095; XP_016865171; XP_024301910; CAH05619; AAB80953; XP_016865172; SPT35793; AAD55268; XP_005248622
AF086148	-
AK074045	BAB84871
BI559430	-
BC013229	-
BU675945	AAI32834; NP_001012418; Q86YV6; EAW55084; NP_001334801; BAC56922; XP_005249135; XP_006715145; ; EAW55083; AAI32832; XP_005249136
CA430162	-
AK096791	EAW64835; Q7L2E3; AAH14237; AAH38417; XP_011531799; XP_016861403; XP_016861404; XP_016861406; EAW64836; XP_011531796; XP_011531800; EAW64834; BAA74913; BAF83955; AAH15029; XP_016861405; NP_619520; BAA92071; AAH20126; XP_006713096; XP_011531792; XP_011531797; NP_055781; ; XP_024309173; EAW64833; NP_001317919
AK096606	-
BC037882	-
AW139431	-
AI077660	-
BQ025487	-
BM677498	-
AL050068	O60883; BAG58475; XP_011508460; NP_004758; CAA76153; BAD96359; BAG35876; ; AAH50334
AK096020	AAG29619; ADZ17363; NP_001366109; EAW81258; XP_011534852; XP_011534855; XP_011534856; BAH02305; AAS15571; CAA35779; XP_024305277; AAI31518; O95718; NP_004443; ; AAS15572; XP_011534849; XP_016876574; AAG17472; XP_024305276
AL833762	CAH56241
AA496222	-
AF086294	
AK097809	BAC05175
AK057525	
BC042133	AAH42133
BC040304	
AL832916	
BC011452	; AAH24752; XP_016879372; Q765P7; XP_005256293; XP_016879368; BAC98378; AAH02770; XP_011521752; NP_612392; XP_016879370; EAW51797; XP_011521756; XP_011521760; XP_016879371; EAW51798; EAW51799; XP_011521755; XP_016879369
BU618741	-
BE646146	-
BC018095	XP_016856813; ; NP_001362588; EAW56204; XP_011539791; E5RJM6; NP_001230465; EAW56205; XP_006710710; NP_001362589; NP_001230464; XP_005244809; NP_001138682
AK097649	
BC035072	-
AW026427	-
AF052118	; Q8NEP9; XP_011526018; XP_016881864; AAH22022; NP_690004; EAW69360; BAC04082; NP_001166246; BAF85643
AK056897	; BAG58696
R00204	-
BC042959	-
BC033316	-
BM671616	-
BC021140	AAH21140
AJ419867	CAD12032
AI263819	-
AK096401	; B7Z6K7; XP_016882686; EAW72539; BAH13293; NP_001138461
AK094546	-
BC035261	
CA447397	CAA65480; CCF77046; EAW96128; AAN46677; EAW96127; BAA76495; NP_005118; ; BAG36638; AAH05254; Q92478
N62827	-
BC028229	
BG704082	-
BM992214	-
BC042387	
AK094035	; EAW80051; BAG64526
R32470	-
AF088033	-
BG571614	-
AI637475	-
AL832634	CAD89950
AK091688	
BC035154	BAG58038; XP_006715149; Q9UJN7; EAX03096; AAD00353; XP_011512871; NP_001309222; XP_005249139; ; NP_001070249; NP_001309217; NP_001309218
BC040322	-
AI339498	-
BC040715	
BC030087	AAH30087
BC043218	
BC031275	
BQ775325	-
AW452656	-
BC030752	-
AF086125	-
BC037908	-
T51129	-
AK097571	
AK058147	-
AK092524	; A1L168; AAI27731; AAI27732; NP_001381887
AK057785	BAB71571
BC018917	BAA74858; EAW75158; Q01538; EAW75157; AAH53638; AAA59897; ; EAW75155; AAH62313; NP_004526
BC042472	
BC038775	-
BG542611	-
AF086155	XP_011532441; NP_001308208; NP_001308206; EAW64128; EAW64129; XP_016862781; XP_016862786; NP_001138865; Q8NCE0; BAF83872; AAH21975; XP_016862782; XP_024309553; NP_001138866; ; BAC11213; BAH12091; XP_016862783; NP_001138864; NP_001308207; XP_016862785; XP_024309552; NP_079541; AAH04211; CAF86810; EAW64127; EAW64130; BAH13287; AAH04178; AAH19582; XP_016862784
AF085852	-
W74643	-
AF086012	-
AA971590	-
BC037871	Q3B7S5; NP_001032408; AAI07487; XP_011524230; EAW66572; ; NP_001290411
BC038751	
AL833888	CAD38744
AL831840	-
BI559356	-
BF516262	-
BF476109	-
BC024246	
BC037213	; EAW73395
AA082707	-
BC040508	AAH40508
BC041041	; XP_006710484; XP_011539224; NP_001269601; XP_016856042; XP_016856046; BAB70965; XP_016856044; XP_016856045; EAW56125; AAI03993; NP_001269599; NP_872339; EAW56127; EAW56128; BAC04254; BAC86730; NP_001139782; NP_001243874; NP_001243875; NP_001269602; EAW56129; XP_006710482; EAW56126; AAQ04817; XP_011539216; XP_011539223; NP_001243876; NP_001269600; Q6NZ36; AAP97719; BAC87220; AAH66360; XP_016856043
AK092250	; NP_001025054; A6NGG8; EAX00517
BQ002274	-
AI285192	-
N21434	-
BQ025632	-
BQ130007	-
BQ184262	-
AW952920	-
W79537	-
AL832009	CAD89912
AK022239	-
BC042378	; BAB14940; BAG37004; NP_065866; EAX05152; AHW56554; CAB75667; NP_116586; EAX05151; BAA92638; AAI11561; AHW56553; XP_011530452; AAY41018; Q9P2E7; AAK21987
BC035063	-
CA313430	-
AI339536	-
AA460960	-
BM353142	-
AK098058	BAG53571
BU621258	-
AF086534	-
AJ227860	-
W72151	-
AK095692	EAW70061; BAC05261; AAH62442; BAG65025; EAW70063; AAH65205; CAC26776; Q9H583; BAH14784; AAH11983; ; EAW70062; BAA91564; BAG54233; AAI50615; NP_060542; EAW70060; AAI30001
BC039344	Q14240; CAI46218; EAW78174; AAH13708; AAH15842; AAH48105; AAP88862; NP_001958; AAO66460; AAH16295; EAW78172; BAA06336; EAW78176; BAD92258; ; AAF64266; BAG58988; EAW78173; EAW78177; EAW78178; AAH12547; EAW78175
BM682352	-
AI692624	-
BU727288	-
AL833324	EAW51466; BAF82953; XP_011533037; XP_016868604; XP_016868607; XP_016868612; Q86X53; AAH46243; XP_016868606; XP_016868620; NP_997215; ; XP_016868614; XP_016868625; NP_001290029; EAW51467; XP_011533039; XP_016868626; XP_016868628; BAC03385; XP_006716297; XP_011533033; XP_016868610; XP_016868611; XP_016868624; XP_016868605; XP_016868609; XP_016868613; XP_016868615; XP_016868619; XP_016868623; XP_024302845; EAW51465; XP_011533038; XP_016868608; XP_016868617; XP_016868618; XP_016868627; AAF28997; BAG59897; XP_016868603; XP_016868622; XP_024302844
H57540	-
BC016937	AAH16937
BC040862	
AK057923	
BC031936	EAW55188; EAW55190; ; EAW55187; EAW55189; BAC03570
CA449954	EAW52211; AAD14119; NP_001165903; CAA72694; EAW52208; EAW52209; EAW52210; P15735; BAF82181; AAH02541; AAA36518; BAG57028; ; BAD92292; AAA36442; NP_000285
AK096362	BAC04768
AF086212	-
BC039357	
AF086103	-
AF174600	AAF04521
BC036611	BAC86917; ; Q6ZSN1
AK091308	-
N20130	-
BQ028191	-
AK096143	
AF161347	AAF28907
BC031323	-
BE326219	-
AF147356	-
BM510616	-
AI989541	-
CA425190	-
AK094370	BAC04341
BC030765	
BC038721	
AF086184	-
AJ457067	CAD29723
AF086360	EAW79131; XP_016861776; XP_016861779; ; XP_006713675; XP_024309276; NP_001353205; BAC86780; NP_001353206; EAW79132; Q8NBH2; BAG57718; XP_016861777; NP_001337789; EAW79133; BAC03471; BAH11610; NP_848649; NP_001337788
BM091363	-
AF086538	-
BU192089	-
AF086242	-
AF147404	-
AK097253	AAI27925; ; BAD51377; XP_016880110; EAW94408; AAI32885; AAL09354; NP_001005404; EAW94407; EAW94410; EAW94409; Q96QA6; AAI32887
AI890196	-
AK090676	-
BE220445	-
BF509747	-
BC034424	AAD13932; BAD96222; BAG59159; BAG62730; AAD13927; AAD14243; AAD14246; AER36552; BAL04462; EAW77902; AAH18927; ALQ33569; AAD14242; NP_001305754; ; BAL04456; BAL04458; BAL04457; BAL04461; BAL04463; AAB00965; P06865; BAG60039; AAH01138; ALQ33567; ALQ33571; NP_000511; CAH10482; AAB33748; BAL04459; BAL04460; ALQ33568; ALQ33570; BAG62619; AAH84537; AAA51827
AL834319	CAD38988
BC026969	AAH26969
BM987612	-
BQ777552	-
BC040189	
BC043205	
BC028622	-
AL832163	-
AU159357	-
BM729268	-
AA931476	-
AI357576	-
BM717927	-
AL833645	-
BC039350	
AK093290	
AK097058	BAC04939
AK093071	
BE675108	-
AF086098	NP_001138466; ; A6NCS6
AF087972	-
AK092902	-
AK091930	
CA448477	-
AK095698	BAC04613
AI089021	-
AI937390	-
AK098677	BAC05375
BC031882	
AF497717	AAM19218
BC031304	
BM980936	-
AF086240	XP_024307054; NP_001340964; NP_001340966; ; XP_006722636; NP_001310986; NP_001340963; NP_775298; EAX01484; EAX01485; O75928; AAH15190; XP_005258434; XP_024307050; NP_001310977; AAC36705; XP_006722635; XP_024307051; NP_001310980; NP_001310982; AAK48938; XP_016881561; NP_001310978; NP_001340967; EAX01486; BAG57921; XP_011524560; XP_024307052; NP_001310976; NP_001310983; NP_001310989; NP_001340965; EAX01487; EAX01488; XP_006722634; NP_001310975; NP_001310981; NP_001310984; NP_001310987; NP_001310988; NP_001340962; NP_001340968; AAC36704; AAI11061; XP_024307053; NP_004662
AF085959	EAW58732; BAA34500; XP_016869987; BAH12342; AAI04860; XP_016869990; XP_024303227; NP_001140168; NP_001340930; BAB16102; XP_016869988; NP_001340929; EAW58731; EAW58733; NP_001291268; NP_001340927; NP_001340928; BAG64946; BAG65001; AAI04862; XP_011516113; XP_016869991; XP_016869993; NP_001291269; Q9H3R0; AAI43572; XP_024303226; NP_001291270; NP_055876; EAW58730; EAW58734; BAG64654; ; NP_001140167; NP_001340926
BC038750	
AF086429	-
AW130612	-
R49575	-
BE221212	-
BC042562	
BC034289	-
BC040646	-
BC035396	; CAD61922
BC038725	
BC030753	
BC042546	
BC043363	Q32Q52; Q6ZR37; AAI07814; NP_001364258; AAI37087; NP_001171568; NP_001032760; BAC87483; ; AAI05729; EAW97470; SPT35787
BC041404	BAC04823; AAH64849; AAI44215; XP_016869927; ; CAH10655; XP_011516098; XP_005251454; XP_011516090; XP_016869931; XP_016869920; EAW58674; BAC04370; AAR13704; XP_011516093; XP_016869923; XP_016869926; Q6TFL3; AAM20913; BAC87511; XP_016869922; XP_016869929; XP_016869932; NP_001334931; NP_001342476; NP_775821; AAH26063; AAI50601; XP_005251455; CAD97907; XP_005251456; XP_016869921; XP_016869924; XP_016869925; XP_016869930
